Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Turbo
Nissan,Kicks,1.6L Inline-4,1598.0,122.0,180,10.7,10.0,Petrol,5,154.0,No
Nissan,X-Trail,1.5L Turbocharged Inline-3,1498.0,201.0,200,8.0,14.5,Hybrid,5,305.0,Yes
Nissan,Z (Fairlady Z),3.0L Twin-Turbo V6,2997.0,400.0,250,4.5,20.0,Petrol,2,475.0,Yes
Nissan,Almera,1.0L Turbocharged Inline-3,999.0,100.0,185,10.7,257.0,Petrol,5,160.0,Yes
Nissan,Sylphy,1.8L Inline-4,1798.0,137.0,190,9.6,9.0,Petrol,5,174.0,No
Nissan,Note,1.2L Inline-3 Hybrid,1198.0,109.0,170,11.5,8.0,Hybrid,5,150.0,No
Nissan,Sunny,1.6L Inline-4,1598.0,118.0,180,11.0,7.5,Petrol,5,156.0,No
Nissan,Cube,1.8L Inline-4,1798.0,122.0,175,10.6,257.0,Petrol,5,171.0,No
Nissan,Juke,1.0L Turbocharged Inline-3,999.0,117.0,180,10.4,12.5,Petrol,5,180.0,Yes
Nissan,Terrano,1.5L Inline-4 Diesel,1461.0,110.0,168,13.5,257.5,Diesel,5,248.0,No
Nissan,Magnite,1.0L Turbocharged Inline-3,999.0,100.0,160,13.0,6.0,Petrol,5,160.0,Yes
Nissan,Xterra,4.0L V6,3954.0,261.0,200,7.8,17.5,Petrol,7,381.0,No
Nissan,Patrol,5.6L V8,5552.0,400.0,210,7.3,38.5,Petrol,7,560.0,No
Nissan,GT-R NISMO,3.8L Twin-Turbo V6,3799.0,600.0,330,2.9,110.0,Petrol,2,652.0,Yes
Nissan,370Z Roadster,3.7L V6,3696.0,332.0,250,5.5,430.5,Petrol,2,366.0,No
Nissan,Ariya ,Dual Electric Motors,87.0,389.0,200,5.1,504.0,Electric,5,600.0,No
